country;country_code;sub_region;n_loans;total_volume;median_amount;pct_female;avg_mpi;n_partners;pct_of_ssa;pop_adultes_M;prets_p1000_adultes
Benin;BJ;Afrique de l'Ouest;497;518950,0;625,0;92,5553319919517;0,33449999999999996;3;0,2899802206650291;5,5;0,09
Burkina Faso;BF;Afrique de l'Ouest;2460;2972700,0;975,0;70,77235772357724;0,575;3;1,4353145731106067;9,0;0,27
Burundi;BI;Afrique de l'Est;880;2667850,0;2862,5;3,295454545454545;0,4729999999999999;1;0,5134458635517617;;
Cameroon;CM;Afrique Centrale;2230;936350,0;375,0;57,48878923766816;0,15073654708520173;2;1,3011184951368509;13,0;0,17
Congo;CG;Afrique Centrale;128;786250,0;6025,0;9,375;;1;0,07468303469843808;2,5;0,05
Cote D'Ivoire;CI;Afrique de l'Ouest;1;50000,0;50000,0;100,0;0,359;1;0,0005834612085815475;;
Ghana;GH;Afrique de l'Ouest;4374;4960425,0;800,0;70,9419295839049;0,1575;17;2,5520593263356885;18,0;0,24
Kenya;KE;Afrique de l'Est;75825;34534300,0;325,0;67,34718100890208;0,20646289482360697;43;44,24094614069583;27,0;2,81
Lesotho;LS;Afrique Australe;422;359525,0;825,0;29,14691943127962;0,1498957345971564;1;0,24622063002141303;1,5;0,28
Liberia;LR;Afrique de l'Ouest;3682;1197825,0;275,0;94,86692015209125;0,445;2;2,1483041699972576;2,5;1,47
Madagascar;MG;Afrique de l'Est;3821;1236025,0;250,0;78,30410887202302;0,3985;3;2,2294052779900926;14,0;0,27
Malawi;MW;Afrique de l'Est;1320;1633325,0;1150,0;86,51515151515152;0,2589988636363636;5;0,7701687953276426;10,0;0,13
Mali;ML;Afrique de l'Ouest;6639;8986700,0;1025,0;67,52522970326856;0,46593470402168996;5;3,873598963772894;9,0;0,74
Mauritania;MR;Afrique de l'Ouest;1;15000,0;15000,0;0,0;0,3145;1;0,0005834612085815475;;
Mozambique;MZ;Afrique de l'Est;3483;2071875,0;500,0;50,90439276485789;0,380908125179443;6;2,0321953894895297;16,0;0,22
Nigeria;NG;Afrique de l'Ouest;10136;2205550,0;150,0;12,33228097868982;0,3089068666140489;3;5,913962810182565;108,0;0,09
Rwanda;RW;Afrique de l'Est;6735;16646300,0;1625,0;38,648849294729025;0,266;8;3,9296112397967224;7,3;0,92
Senegal;SN;Afrique de l'Ouest;3269;7033925,0;1975,0;83,5117773019272;0,399;5;1,9073346908530786;9,0;0,36
Sierra Leone;SL;Afrique de l'Ouest;5415;4180525,0;700,0;80,03693444136657;0,5117743305632502;5;3,1594424444690796;3,5;1,55
Somalia;SO;Afrique de l'Est;75;225875,0;1500,0;20,0;;1;0,04375959064361606;;
South Africa;ZA;Afrique Australe;378;574025,0;1425,0;61,111111111111114;;2;0,22054833684382494;39,0;0,01
South Sudan;SS;Afrique de l'Est;160;120900,0;312,5;44,375;0,561;2;0,09335379337304758;;
Tanzania;TZ;Afrique de l'Est;5219;6827725,0;900,0;51,868173979689594;;13;3,045084047587096;25,0;0,21
The Democratic Republic Of The Congo;CD;Afrique Centrale;3073;11261150,0;3150,0;36,02342987308818;;3;1,7929762939710954;;
Togo;TG;Afrique de l'Ouest;5749;1536375,0;175,0;94,88606714211167;0,2835;2;3,3543184881353163;4,2;1,37
Uganda;UG;Afrique de l'Est;20601;15389350,0;600,0;42,17271006261832;0,3532144070676181;17;12,019884357988458;18,0;1,14
Zambia;ZM;Afrique de l'Est;784;1210675,0;1075,0;40,433673469387756;0,27387372448979586;8;0,4574335875279332;10,0;0,08
Zimbabwe;ZW;Afrique de l'Est;4034;3447400,0;500,0;94,3728309370352;0,14258329201784828;6;2,3536825154179626;10,0;0,4
